"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
812,"12/27/2000","Traffic",48000000,124107476,208300000,"USA Films","R","Drama"
813,"1/9/2015","Taken 3",48000000,89256424,327656424,"20th Century Fox","PG-13","Action"
814,"10/1/1999","Three Kings",48000000,60652036,107752036,"Warner Bros.","R","Action"
815,"1/22/2010","Tooth Fairy",48000000,60022256,112610386,"20th Century Fox","PG","Adventure"
816,"8/17/2001","Rat Race",48000000,56607223,86607223,"Paramount Pictures","PG-13","Comedy"
817,"8/13/2001","K-PAX",48000000,50315140,50315140,"Universal","PG-13","Drama"
818,"10/20/2000","Bedazzled",48000000,37879996,90376224,"20th Century Fox","PG-13","Comedy"
819,"6/26/1998","Out of Sight",48000000,37562568,77562568,"Universal","R","Drama"
820,"12/14/1984","The Cotton Club",48000000,25928721,25928721,"Orion Pictures",NA,"Drama"
821,"1/25/2008","Rambo",47500000,42754105,112214531,"Lionsgate","R","Action"
822,"6/15/1990","Dick Tracy",47000000,103738726,162738726,"Walt Disney","PG","Action"
823,"11/11/2016","Arrival",47000000,100546139,203162211,"Paramount Pictures","PG-13","Drama"
824,"6/14/1996","The Cable Guy",47000000,60240295,102825796,"Sony Pictures","PG-13","Comedy"
825,"10/19/2001","Riding in Cars with Boys",47000000,29781453,29781453,"Sony Pictures","PG-13","Drama"
826,"1/5/2007","Happily N'Ever After",47000000,15849032,37923818,"Lionsgate","PG","Adventure"
827,"11/27/2002","Solaris",47000000,14970038,14970038,"20th Century Fox","PG-13","Drama"
828,"6/18/2010","Jonah Hex",47000000,10547117,11022696,"Warner Bros.","PG-13","Action"
829,"2/23/1996","Mary Reilly",47000000,5707094,12900000,"Sony Pictures","R","Drama"
830,"12/23/2016","Silence",46500000,7100177,23727516,"Paramount Pictures","R","Drama"
831,"6/20/1997","My Best Friend's Wedding",46000000,126813153,298923419,"Sony Pictures","PG","Comedy"
832,"11/22/1996","Star Trek: First Contact",46000000,92027888,150000000,"Paramount Pictures","PG-13","Adventure"
833,"7/12/1996","Courage Under Fire",46000000,59003384,100833145,"20th Century Fox","R","Drama"
834,"9/17/1982","Inchon",46000000,4408636,4408636,"MGM",NA,"Drama"
835,"3/21/1997","Liar Liar",45000000,181410615,302710615,"Universal","PG-13","Comedy"
836,"11/20/1998","A Bug's Life",45000000,162798565,363095319,"Walt Disney","G","Adventure"
837,"5/27/1994","The Flintstones",45000000,130531208,358500000,"Universal","PG","Comedy"
838,"10/24/2003","Scary Movie 3",45000000,110000082,155200000,"Miramax/Dimension","PG-13","Comedy"
839,"12/22/2000","Miss Congeniality",45000000,106807667,213420951,"Warner Bros.","PG-13","Comedy"
840,"12/22/2017","Pitch Perfect 3",45000000,104897530,185736412,"Universal","PG-13","Comedy"
841,"7/11/2008","Journey to the Center of the Earth",45000000,101704370,243180937,"Warner Bros.","PG","Adventure"
842,"12/17/1993","The Pelican Brief",45000000,100768056,187995859,"Warner Bros.","PG-13","Drama"
